added_to_playlist_time,artist_name,artist_image,unique_artist_id,release_date,song_name,song_length_seconds,song_explicit,song_linkId,song_popularity,album_name,spotify_uri_album,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,tempo
2018-10-22T15:15:09Z,Post Malone,https://i.scdn.co/image/ab67616d00001e02ef376d3257503f734de0eefc,spotify:artist:246dkjvS1zLTtiykXe5h60,2018-10-18,Sunflower - Spider-Man: Into the Spider-Verse,158.053,False,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,0,Sunflower (Spider-Man: Into the Spider-Verse),spotify:album:47LpgGVshd0tbFSbm9tTLb,1A6OTy97kk0mMdm78rHsm8,0.753,0.498,2,-5.61,1,0.0504,0.551,0.0,0.0706,0.927,4,89.95
2018-10-15T23:12:04Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,GIVE IT TO EM (feat. Saweetie),182.44,True,https://open.spotify.com/track/1kvt3N2KmoSAunaEJNrgNM,41,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,1kvt3N2KmoSAunaEJNrgNM,0.879,0.491,11,-7.459,0,0.339,0.013,0.0,0.112,0.224,4,152.008
2018-10-15T23:11:55Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,HOW BOUT THAT?,160.644,True,https://open.spotify.com/track/7H0NHzIEzCoIENLC2o8Obj,45,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,7H0NHzIEzCoIENLC2o8Obj,0.827,0.819,3,-4.302,0,0.148,0.00525,0.0,0.184,0.325,4,145.016
2018-10-15T23:11:51Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,KEEP THAT SHIT (feat. Takeoff),176.112,True,https://open.spotify.com/track/2QApWGconWQE8BjaNfh7ik,43,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,2QApWGconWQE8BjaNfh7ik,0.875,0.717,5,-7.236,1,0.189,0.0708,0.000495,0.0949,0.607,4,153.037
2018-10-15T23:11:40Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,BIG BRO,216.72,True,https://open.spotify.com/track/4nTTGWjZ7IeHBdnDnxeiES,38,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,4nTTGWjZ7IeHBdnDnxeiES,0.857,0.673,1,-7.611,1,0.322,0.337,0.0,0.126,0.465,4,154.988
2018-10-15T23:11:35Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,BUBBLE GUM,196.496,True,https://open.spotify.com/track/1t5lB6hvOMWdat5NKm29Qx,45,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,1t5lB6hvOMWdat5NKm29Qx,0.799,0.752,11,-3.734,0,0.274,0.114,0.0,0.109,0.763,4,75.98
2018-10-15T23:11:31Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,LOST (feat. Kid Cudi),278.76,True,https://open.spotify.com/track/2H5CLUmtvo2VHEeWzMtUqW,46,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,2H5CLUmtvo2VHEeWzMtUqW,0.908,0.499,6,-7.793,0,0.642,0.267,0.0,0.078,0.114,4,132.968
2018-10-15T23:11:22Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,RERUN (feat. Travis Scott),236.947,True,https://open.spotify.com/track/0JYAsQJWIuaYUvZGF1qapT,52,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,0JYAsQJWIuaYUvZGF1qapT,0.684,0.791,5,-4.435,1,0.309,0.0939,0.0,0.359,0.529,4,153.992
2018-10-15T23:11:19Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,LOSE IT (feat. Lil Baby),237.654,True,https://open.spotify.com/track/69PkhA9q3xCWU2CzoZnLAu,53,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,69PkhA9q3xCWU2CzoZnLAu,0.962,0.573,7,-5.924,1,0.308,0.0161,0.0,0.109,0.728,4,125.035
2018-10-15T23:11:02Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,BIGGEST ALLEY OOP,180.96,True,https://open.spotify.com/track/6Q36XucqrejMId3RydVhch,52,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,6Q36XucqrejMId3RydVhch,0.86,0.408,0,-5.389,1,0.189,0.166,0.0,0.111,0.0548,4,75.481
